50	225	E	-1910564.4339701552	200
transitionprobs	5	27	0.23948588015149888
transitionprobs	5	28	0.009141192587698818
transitionprobs	5	29	0.012622621404438109
transitionprobs	5	30	0.010507419435958312
transitionprobs	5	31	0.00569351591694066
transitionprobs	5	32	6.248128795073638E-4
transitionprobs	5	33	0.0
transitionprobs	5	34	0.01177081440170239
transitionprobs	5	35	0.004560108384462299
transitionprobs	5	36	0.003573098177167053
transitionprobs	5	37	0.004427734645275997
transitionprobs	5	38	0.0
transitionprobs	5	39	0.0
transitionprobs	5	40	0.024068366924941197
transitionprobs	5	41	0.0
transitionprobs	5	42	0.0
transitionprobs	5	43	0.0
transitionprobs	5	44	0.0
transitionprobs	5	45	0.001422699736390403
transitionprobs	5	46	7.811843394590249E-4
transitionprobs	5	47	0.005870155307794628
transitionprobs	5	48	7.129262243077534E-4
transitionprobs	5	49	0.0020729132454078234
transitionprobs	5	50	0.0
transitionprobs	6	1	0.011638030100476374
transitionprobs	6	2	0.006931568748671716
transitionprobs	6	3	0.033221924121324034
transitionprobs	6	4	0.05844945525064776
transitionprobs	6	5	0.05224699292496849
transitionprobs	6	6	0.06931849050322123
transitionprobs	6	7	0.036763398447128975
transitionprobs	6	8	0.003730307554622418
transitionprobs	6	9	0.07113283846021999
transitionprobs	6	10	0.06665557830224308
transitionprobs	6	11	0.014224757841288604
transitionprobs	6	12	0.01356628341874792
transitionprobs	6	13	0.0010932933097029215
transitionprobs	6	14	0.0031962150139365057
transitionprobs	6	15	0.0
transitionprobs	6	16	0.0
transitionprobs	6	17	0.0
transitionprobs	6	18	0.0
transitionprobs	6	19	0.0
transitionprobs	6	20	0.0
transitionprobs	6	21	0.005309657818196908
transitionprobs	6	22	0.002034482265752727
transitionprobs	6	23	0.009984962738807399
transitionprobs	6	24	0.004220974034003193
transitionprobs	6	25	0.012273255893369276
transitionprobs	6	26	0.1445334504676795
transitionprobs	6	27	0.23582994134351587
transitionprobs	6	28	0.010130849067541295
transitionprobs	6	29	0.017021217645150282
transitionprobs	6	30	0.007850630111020267
transitionprobs	6	31	0.0056645153745100004
transitionprobs	6	32	0.0065091833524261716
transitionprobs	6	33	0.008578639942231198
transitionprobs	6	34	0.03565226774407654
transitionprobs	6	35	0.027938363445390583
transitionprobs	6	36	0.003401634990569785
transitionprobs	6	37	0.0
transitionprobs	6	38	0.0
transitionprobs	6	39	0.0
transitionprobs	6	40	0.012404825598057544
transitionprobs	6	41	0.0
transitionprobs	6	42	0.0
transitionprobs	6	43	0.0
transitionprobs	6	44	0.0
transitionprobs	6	45	0.0
transitionprobs	6	46	5.556027262826894E-4
transitionprobs	6	47	0.004556260685685585
transitionprobs	6	48	0.0
transitionprobs	6	49	0.00247753028854788
transitionprobs	6	50	9.026204699853825E-4
transitionprobs	7	1	0.002081463657743517
transitionprobs	7	2	0.003869484512879398
transitionprobs	7	3	0.004870898022819766
transitionprobs	7	4	0.02369069752627969
transitionprobs	7	5	0.028934471559755693
transitionprobs	7	6	0.03409713856747037
transitionprobs	7	7	0.03950871050206213
transitionprobs	7	8	0.017928039916376183
transitionprobs	7	9	0.03659743020314686
transitionprobs	7	10	0.03912260457704052
transitionprobs	7	11	0.042394780254380066
transitionprobs	7	12	0.0
transitionprobs	7	13	0.0
transitionprobs	7	14	0.0
transitionprobs	7	15	0.0
transitionprobs	7	16	0.0
transitionprobs	7	17	0.0
transitionprobs	7	18	0.0
transitionprobs	7	19	0.0
transitionprobs	7	20	0.0
transitionprobs	7	21	0.0
transitionprobs	7	22	0.0
transitionprobs	7	23	2.014720857643027E-5
transitionprobs	7	24	0.006428834476772112
transitionprobs	7	25	0.012993886662149423
transitionprobs	7	26	0.41765242144104125
transitionprobs	7	27	0.2411962981471895
transitionprobs	7	28	0.0
transitionprobs	7	29	0.008510058628231437
transitionprobs	7	30	0.0025503117624874234
transitionprobs	7	31	0.0
transitionprobs	7	32	6.24751937002273E-4
transitionprobs	7	33	0.003962052313473236
transitionprobs	7	34	0.005908322789648346
transitionprobs	7	35	0.003926155613534802
transitionprobs	7	36	0.0024378126649394877
transitionprobs	7	37	0.0037836985748961184
transitionprobs	7	38	0.0
transitionprobs	7	39	0.0
transitionprobs	7	40	0.012476734433680983
transitionprobs	7	41	0.0
transitionprobs	7	42	0.0
transitionprobs	7	43	0.0
transitionprobs	7	44	0.0
transitionprobs	7	45	0.0
transitionprobs	7	46	0.0021236567231575636
transitionprobs	7	47	4.842980001616735E-4
transitionprobs	7	48	0.0
transitionprobs	7	49	0.0014607493249477303
transitionprobs	7	50	3.6408999815601087E-4
transitionprobs	8	1	0.0
transitionprobs	8	2	0.0
transitionprobs	8	3	0.003197985200579813
transitionprobs	8	4	2.1554343189149244E-4
transitionprobs	8	5	0.002116761800201509
transitionprobs	8	6	0.005162292825244659
transitionprobs	8	7	0.025674992406563856
transitionprobs	8	8	0.04029780827354463
transitionprobs	8	9	6.764349490247242E-6
transitionprobs	8	10	9.254828574982288E-7
transitionprobs	8	11	0.05734873854340646
transitionprobs	8	12	0.0012669407431061736
transitionprobs	8	13	0.0
transitionprobs	8	14	0.0
transitionprobs	8	15	0.0
transitionprobs	8	16	0.0
transitionprobs	8	17	0.0
transitionprobs	8	18	0.0
transitionprobs	8	19	0.0
transitionprobs	8	20	0.0
transitionprobs	8	21	0.0
transitionprobs	8	22	0.0
transitionprobs	8	23	0.0013705194640297863
transitionprobs	8	24	4.990943616433275E-4
transitionprobs	8	25	0.004568291573292897
transitionprobs	8	26	0.7388022858243247
transitionprobs	8	27	0.11064514228510966
transitionprobs	8	28	0.0
transitionprobs	8	29	0.0
transitionprobs	8	30	0.0021221434043404257
transitionprobs	8	31	5.908003402014026E-4
transitionprobs	8	32	0.0
transitionprobs	8	33	0.0
transitionprobs	8	34	0.0
transitionprobs	8	35	0.0
transitionprobs	8	36	0.0
transitionprobs	8	37	0.0
transitionprobs	8	38	0.0
transitionprobs	8	39	0.0
transitionprobs	8	40	0.0038440592832788396
transitionprobs	8	41	0.0
transitionprobs	8	42	0.0
